,precio,origen_ida,destino_ida,min_duracion_ida,escalas_ida,hora_salida_ida,hora_llegada_ida,aerolinea_ida,origen_vuelta,destino_vuelta,min_duracion_vuelta,escalas_vuelta,hora_salida_vuelta,hora_llegada_vuelta,aerolinea_vuelta
17,244.73,Madrid,Paris Charles de Gaulle,130,0,16:20,18:30,Air France,Paris Charles de Gaulle,Madrid,130,0,07:00,09:10,Air France
18,253.73,Madrid,Paris Charles de Gaulle,130,0,17:55,20:05,Air France,Paris Charles de Gaulle,Madrid,130,0,07:00,09:10,Air France
19,305.73,Madrid,Paris Charles de Gaulle,140,0,06:00,08:20,Air France,Paris Charles de Gaulle,Madrid,130,0,07:00,09:10,Air France
20,267.97,Madrid,Paris Charles de Gaulle,130,0,21:40,23:50,Vueling Airlines,Paris Charles de Gaulle,Madrid,130,0,07:00,09:10,Vueling Airlines
21,329.0,Madrid,Paris Charles de Gaulle,130,0,15:45,17:55,Vueling Airlines,Paris Charles de Gaulle,Madrid,130,0,07:00,09:10,Vueling Airlines
22,250.04,Madrid,Paris Charles de Gaulle,135,0,14:45,17:00,easyJet,Paris Charles de Gaulle,Madrid,130,0,07:00,09:10,Iberia
23,258.0,Madrid,Paris Charles de Gaulle,130,0,15:45,17:55,Vueling Airlines,Paris Charles de Gaulle,Madrid,130,0,07:00,09:10,Iberia
24,344.0,Madrid,Paris Charles de Gaulle,130,0,09:45,11:55,Vueling Airlines,Paris Charles de Gaulle,Madrid,130,0,07:00,09:10,Iberia
25,361.73,Madrid,Paris Charles de Gaulle,130,0,12:25,14:35,Air France,Paris Charles de Gaulle,Madrid,130,0,20:55,23:05,Air France
26,361.73,Madrid,Paris Charles de Gaulle,130,0,16:20,18:30,Air France,Paris Charles de Gaulle,Madrid,130,0,20:55,23:05,Air France
27,368.73,Madrid,Paris Charles de Gaulle,130,0,10:00,12:10,Air France,Paris Charles de Gaulle,Madrid,125,0,14:55,17:00,Air France
28,370.73,Madrid,Paris Charles de Gaulle,130,0,17:55,20:05,Air France,Paris Charles de Gaulle,Madrid,130,0,20:55,23:05,Air France
29,357.65,Madrid,Paris Charles de Gaulle,135,0,14:45,17:00,easyJet,Paris Charles de Gaulle,Madrid,135,0,17:35,19:50,easyJet
30,377.73,Madrid,Paris Charles de Gaulle,130,0,10:00,12:10,Air France,Paris Charles de Gaulle,Madrid,130,0,13:15,15:25,Air France
31,380.73,Madrid,Paris Charles de Gaulle,130,0,16:20,18:30,Air France,Paris Charles de Gaulle,Madrid,130,0,17:05,19:15,Air France
32,380.73,Madrid,Paris Charles de Gaulle,130,0,12:25,14:35,Air France,Paris Charles de Gaulle,Madrid,130,0,17:05,19:15,Air France
33,388.73,Madrid,Paris Charles de Gaulle,130,0,10:00,12:10,Air France,Paris Charles de Gaulle,Madrid,130,0,20:55,23:05,Air France
34,389.73,Madrid,Paris Charles de Gaulle,130,0,17:55,20:05,Air France,Paris Charles de Gaulle,Madrid,130,0,17:05,19:15,Air France
35,393.83,Madrid,Paris Charles de Gaulle,130,0,09:45,11:55,Vueling Airlines,Paris Charles de Gaulle,Madrid,130,0,07:00,09:10,Vueling Airlines
36,408.73,Madrid,Paris Charles de Gaulle,130,0,10:00,12:10,Air France,Paris Charles de Gaulle,Madrid,130,0,17:05,19:15,Air France
37,401.2,Madrid,Paris Charles de Gaulle,130,0,15:45,17:55,Iberia,Paris Charles de Gaulle,Madrid,135,0,17:35,19:50,easyJet
38,409.3,Madrid,Paris Charles de Gaulle,130,0,21:40,23:50,Iberia,Paris Charles de Gaulle,Madrid,130,0,18:45,20:55,Iberia
39,401.73,Madrid,Paris Charles de Gaulle,140,0,06:00,08:20,Air France,Paris Charles de Gaulle,Madrid,125,0,14:55,17:00,Air France
40,400.75,Madrid,Paris Charles de Gaulle,135,0,14:45,17:00,easyJet Europe,Paris Charles de Gaulle,Madrid,135,0,17:35,19:50,easyJet Europe
41,410.73,Madrid,Paris Charles de Gaulle,140,0,06:00,08:20,Air France,Paris Charles de Gaulle,Madrid,130,0,13:15,15:25,Air France
42,422.73,Madrid,Paris Charles de Gaulle,140,0,06:00,08:20,Air France,Paris Charles de Gaulle,Madrid,130,0,20:55,23:05,Air France
43,448.53,Madrid,Paris Charles de Gaulle,130,0,16:20,18:30,Scandinavian Airlines,Paris Charles de Gaulle,Madrid,130,0,07:00,09:10,Iberia
44,441.73,Madrid,Paris Charles de Gaulle,140,0,06:00,08:20,Air France,Paris Charles de Gaulle,Madrid,130,0,17:05,19:15,Air France
45,469.11,Madrid,Paris Charles de Gaulle,130,0,15:45,17:55,Iberia,Paris Charles de Gaulle,Madrid,130,0,18:45,20:55,Iberia
